epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,40940,1.25012,0.67806,0.8328,0.86784,0.84004,0.88572,0.57718,1.45758,0.82867,0.88819,0.000645557,0.000645557,0.000645557
126,41262.1,1.23477,0.67009,0.83117,0.86514,0.84022,0.88531,0.57386,1.46259,0.82973,0.88872,0.000631143,0.000631143,0.000631143
127,41592.2,1.23598,0.66096,0.83134,0.86315,0.84301,0.88526,0.57755,1.4469,0.82993,0.8845,0.000616824,0.000616824,0.000616824
128,41927,1.25288,0.67966,0.82935,0.86605,0.84532,0.88744,0.57995,1.45291,0.8174,0.88782,0.000602601,0.000602601,0.000602601
129,42240.2,1.22587,0.65958,0.83034,0.86689,0.84364,0.88593,0.57839,1.45961,0.82092,0.88787,0.000588479,0.000588479,0.000588479
130,42557.2,1.21964,0.66155,0.82904,0.87067,0.83769,0.88627,0.57231,1.48234,0.82867,0.89185,0.00057446,0.00057446,0.00057446
131,42893,1.19196,0.63981,0.82236,0.86472,0.84599,0.88683,0.57888,1.46955,0.81342,0.8912,0.000560549,0.000560549,0.000560549
132,43241.1,1.19801,0.6502,0.82959,0.86162,0.84721,0.88411,0.57497,1.47239,0.82058,0.89128,0.000546749,0.000546749,0.000546749
133,43566.7,1.20396,0.65492,0.83225,0.86448,0.84229,0.88525,0.57603,1.46133,0.82118,0.88826,0.000533064,0.000533064,0.000533064
134,43897,1.22458,0.65965,0.82851,0.8643,0.84538,0.88611,0.57788,1.46372,0.82084,0.88888,0.000519496,0.000519496,0.000519496
135,44257.9,1.1968,0.64402,0.82914,0.86739,0.84491,0.88767,0.57866,1.45587,0.81394,0.88754,0.000506049,0.000506049,0.000506049
136,44607.3,1.21493,0.65268,0.82971,0.86456,0.8431,0.88553,0.57537,1.47519,0.81825,0.89073,0.000492726,0.000492726,0.000492726
137,44932.7,1.2223,0.66813,0.83582,0.8635,0.84363,0.88534,0.57956,1.44864,0.82009,0.88651,0.000479531,0.000479531,0.000479531
138,45261.7,1.19022,0.64303,0.82722,0.86314,0.84451,0.88572,0.57921,1.44967,0.81123,0.88771,0.000466467,0.000466467,0.000466467
139,45592.6,1.20436,0.64614,0.82816,0.86435,0.84919,0.88725,0.57525,1.48501,0.80466,0.89505,0.000453537,0.000453537,0.000453537
140,45909.1,1.21452,0.65803,0.83064,0.86331,0.84283,0.88606,0.57445,1.46743,0.81387,0.88885,0.000440745,0.000440745,0.000440745
141,46237.5,1.19961,0.6391,0.82488,0.8653,0.84491,0.88674,0.579,1.45914,0.81011,0.88973,0.000428093,0.000428093,0.000428093
142,46577.8,1.19411,0.63468,0.82786,0.86329,0.84031,0.8848,0.57676,1.45979,0.81557,0.8885,0.000415584,0.000415584,0.000415584
